"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","VAACTY","AGRFORTFISH","AGRWTH","A","1975",8.2713207345147,
"AUS","VAACTY","AGRFORTFISH","AGRWTH","A","1976",2.67503955696202,
"AUS","VAACTY","AGRFORTFISH","AGRWTH","A","1977",-3.27474115097519,
"AUS","VAACTY","AGRFORTFISH","AGRWTH","A","1978",21.7077420960916,
"AUS","VAACTY","AGRFORTFISH","AGRWTH","A","1979",-12.2969932501534,
"AUS","VAACTY","AGRFORTFISH","AGRWTH","A","1980",-12.3280003731517,
"AUS","VAACTY","AGRFORTFISH","AGRWTH","A","1981",16.3598638008087,
"AUS","VAACTY","AGRFORTFISH","AGRWTH","A","1982",-21.8645695212839,
"AUS","VAACTY","AGRFORTFISH","AGRWTH","A","1983",43.2968576277137,
"AUS","VAACTY","AGRFORTFISH","AGRWTH","A","1984",0.20009800718719,
"AUS","VAACTY","AGRFORTFISH","AGRWTH","A","1985",-6.98944451236908,
"AUS","VAACTY","AGRFORTFISH","AGRWTH","A","1986",1.07352554552625,
"AUS","VAACTY","AGRFORTFISH","AGRWTH","A","1987",-2.15892833918586,
"AUS","VAACTY","AGRFORTFISH","AGRWTH","A","1988",4.41313305862023,
"AUS","VAACTY","AGRFORTFISH","AGRWTH","A","1989",8.19435603649481,
"AUS","VAACTY","AGRFORTFISH","AGRWTH","A","1990",5.54204581110762,
"AUS","VAACTY","AGRFORTFISH","AGRWTH","A","1991",-5.30677468504961,
"AUS","VAACTY","AGRFORTFISH","AGRWTH","A","1992",5.25882029747656,
"AUS","VAACTY","AGRFORTFISH","AGRWTH","A","1993",4.14227657432607,
"AUS","VAACTY","AGRFORTFISH","AGRWTH","A","1994",-14.6534440784763,
"AUS","VAACTY","AGRFORTFISH","AGRWTH","A","1995",21.1460212257226,
"AUS","VAACTY","AGRFORTFISH","AGRWTH","A","1996",8.08171745152355,
"AUS","VAACTY","AGRFORTFISH","AGRWTH","A","1997",0.551034792080466,
"AUS","VAACTY","AGRFORTFISH","AGRWTH","A","1998",10.2943987765246,
"AUS","VAACTY","AGRFORTFISH","AGRWTH","A","1999",6.71924199092931,
"AUS","VAACTY","AGRFORTFISH","AGRWTH","A","2000",3.83563868662535,
"AUS","VAACTY","AGRFORTFISH","AGRWTH","A","2001",3.15432742440041,
"AUS","VAACTY","AGRFORTFISH","AGRWTH","A","2002",-21.6022239070003,
"AUS","VAACTY","AGRFORTFISH","AGRWTH","A","2003",25.5141512475018,
"AUS","VAACTY","AGRFORTFISH","AGRWTH","A","2004",4.28384313121195,
"AUS","VAACTY","AGRFORTFISH","AGRWTH","A","2005",2.85679103558676,
"AUS","VAACTY","AGRFORTFISH","AGRWTH","A","2006",-15.038908176703,
"AUS","VAACTY","AGRFORTFISH","AGRWTH","A","2007",8.09378874985908,
"AUS","VAACTY","AGRFORTFISH","AGRWTH","A","2008",17.0794660548545,
"AUS","VAACTY","AGRFORTFISH","AGRWTH","A","2009",-0.745986149152694,
"AUS","VAACTY","AGRFORTFISH","AGRWTH","A","2010",3.46630171408059,
"AUS","VAACTY","AGRFORTFISH","AGRWTH","A","2011",0.973610599128297,
"AUS","VAACTY","AGRFORTFISH","AGRWTH","A","2012",-0.727998969204997,
"AUS","VAACTY","AGRFORTFISH","AGRWTH","A","2013",1.14435286737189,
"AUS","VAACTY","AGRFORTFISH","AGRWTH","A","2014",1.42655488065703,
"AUS","VAACTY","AGRFORTFISH","AGRWTH","A","2015",-7.9012293612804,
"AUS","VAACTY","AGRFORTFISH","AGRWTH","A","2016",9.59794853008518,
"AUS","VAACTY","AGRFORTFISH","AGRWTH","A","2017",-5.0513913261469,
"AUS","VAACTY","CONSTR","AGRWTH","A","1975",5.10462175212693,
"AUS","VAACTY","CONSTR","AGRWTH","A","1976",4.8211551082914,
"AUS","VAACTY","CONSTR","AGRWTH","A","1977",-2.92974354960737,
"AUS","VAACTY","CONSTR","AGRWTH","A","1978",2.87035046226618,
"AUS","VAACTY","CONSTR","AGRWTH","A","1979",2.31476643327412,
"AUS","VAACTY","CONSTR","AGRWTH","A","1980",7.30044430825801,
"AUS","VAACTY","CONSTR","AGRWTH","A","1981",4.36448442445444,
"AUS","VAACTY","CONSTR","AGRWTH","A","1982",-11.3601641774028,
