Gross Output by Industry,,,,,,,,,,,,,,,,,,,,,,,
[Millions of dollars],,,,,,,,,,,,,,,,,,,,,,,
Bureau of Economic Analysis,,,,,,,,,,,,,,,,,,,,,,,
"Release Date: October 29, 2019",,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Line,,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
    1,    All industries,15393320,16216785,17272311,18623870,18888252,19178255,20141244,21690160,23512947,24931355,26238500,26989209,24919477,26422363,27999497,29186848,30291347,31740043,32176657,32838510,34495447,36593325
    2,Private industries,13728169,14487020,15437558,16672777,16809081,16963427,17798089,19210489,20889675,22154281,23305632,23869214,21695674,23087247,24635110,25797086,26864969,28248483,28604387,29178654,30717502,32631095
    3,"  Agriculture, forestry, fishing, and hunting",257882,249763,245311,243596,251356,241404,268265,307197,298504,302212,347041,374739,340445,368845,432485,452635,488450,500917,455896,428011,447605,446640
    4,    Farms,219380,207822,199949,204316,212335,201897,226839,261819,251868,254420,302484,329952,299142,323190,383308,405729,439139,445166,402362,375064,391458,389219
    5,"    Forestry, fishing, and related activities",38502,41942,45365,39283,39022,39509,41426,45377,46636,47792,44560,44787,41302,45657,49176,46902,49312,55750,53534,52948,56147,57421
    6,  Mining,176871,151537,155814,218050,226107,195472,252388,299469,393954,444218,475551,613984,404018,499297,601186,613049,662888,745419,493507,382162,496571,623815
    7,    Oil and gas extraction,98509,72745,85524,142988,142309,116721,165982,191027,249252,257413,276911,388364,227565,304701,372942,362652,426372,476039,269679,230200,305141,411718
    8,"    Mining, except oil and gas",56243,55373,53050,54676,55094,54442,57394,67311,84276,100825,104498,116162,104933,112693,130879,124665,114553,117311,103226,90987,102635,106066
    9,    Support activities for mining,22119,23419,17240,20386,28704,24309,29012,41132,60426,85980,94143,109458,71521,81902,97366,125731,121962,152069,120601,60975,88795,106032
    10,  Utilities,261979,268067,314786,373248,446479,325154,343152,351750,416184,421955,451593,524896,436451,494486,484889,461485,491663,537642,514187,477032,486292,509303
    11,  Construction,709092,779602,841640,913886,956910,969697,1039480,1158060,1287144,1353620,1339134,1275777,1098960,1016651,1020485,1074580,1155700,1258772,1370870,1473121,1547268,1608406
    12,  Manufacturing,3897971,3962464,4079847,4290462,4046832,3971611,4050673,4361729,4804582,5093517,5404030,5493739,4511065,5019104,5592871,5771296,5939329,6025468,5705524,5551049,5818869,6217035
    13,    Durable goods,2189827,2278794,2356245,2435259,2240800,2165388,2175682,2314916,2496171,2639741,2770175,2687055,2152092,2382490,2599134,2699678,2789555,2906094,2901898,2846503,2969316,3168347
    14,      Wood products,88806,91836,98086,95023,88021,90175,92673,106104,114836,114564,103304,89113,65913,71907,72990,80770,90577,97598,100966,105506,112643,116120
    15,      Nonmetallic mineral products,85860,91637,95687,97716,94409,95254,96547,102391,113210,125808,128466,114428,89972,92358,94063,99639,106303,113587,118998,124463,128765,133125
