"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","TAXENV","ENRG","PC_GDP","A","1994",1.8689075714683,
"AUS","TAXENV","ENRG","PC_GDP","A","1995",1.9763117001209,
"AUS","TAXENV","ENRG","PC_GDP","A","1996",1.8925212238617,
"AUS","TAXENV","ENRG","PC_GDP","A","1997",2.1414833602459,
"AUS","TAXENV","ENRG","PC_GDP","A","1998",2.1756984308765,
"AUS","TAXENV","ENRG","PC_GDP","A","1999",2.0815333642471,
"AUS","TAXENV","ENRG","PC_GDP","A","2000",1.765834333093,
"AUS","TAXENV","ENRG","PC_GDP","A","2001",1.6949558162734,"E"
"AUS","TAXENV","ENRG","PC_GDP","A","2002",1.6590726176753,"E"
"AUS","TAXENV","ENRG","PC_GDP","A","2003",1.5328726883879,
"AUS","TAXENV","ENRG","PC_GDP","A","2004",1.4759830854119,
"AUS","TAXENV","ENRG","PC_GDP","A","2005",1.3770638794747,"E"
"AUS","TAXENV","ENRG","PC_GDP","A","2006",1.3336318502437,"E"
"AUS","TAXENV","ENRG","PC_GDP","A","2007",1.2732108103733,"E"
"AUS","TAXENV","ENRG","PC_GDP","A","2008",1.1846122434461,"E"
"AUS","TAXENV","ENRG","PC_GDP","A","2009",1.177064611781,"E"
"AUS","TAXENV","ENRG","PC_GDP","A","2010",1.1345484729877,"E"
"AUS","TAXENV","ENRG","PC_GDP","A","2011",1.097608191772,
"AUS","TAXENV","ENRG","PC_GDP","A","2012",1.3386948846045,
"AUS","TAXENV","ENRG","PC_GDP","A","2013",1.3407897077977,"E"
"AUS","TAXENV","ENRG","PC_GDP","A","2014",1.1639296036458,"E"
"AUS","TAXENV","ENRG","PC_GDP","A","2015",1.0525277198248,"E"
"AUS","TAXENV","ENRG","PC_GDP","A","2016",1.0254604109999,"E"
"AUS","TAXENV","OTH","PC_GDP","A","1994",0,"E"
"AUS","TAXENV","OTH","PC_GDP","A","1995",0.00416984582025,
"AUS","TAXENV","OTH","PC_GDP","A","1996",0.00702339506639,
"AUS","TAXENV","OTH","PC_GDP","A","1997",0.01377329032081,
"AUS","TAXENV","OTH","PC_GDP","A","1998",0.01815105148026,
"AUS","TAXENV","OTH","PC_GDP","A","1999",0.01846088764391,
"AUS","TAXENV","OTH","PC_GDP","A","2000",0.01758026614693,
"AUS","TAXENV","OTH","PC_GDP","A","2001",0.01644689751706,
"AUS","TAXENV","OTH","PC_GDP","A","2002",0.01653696831201,
"AUS","TAXENV","OTH","PC_GDP","A","2003",0.01933231837069,
"AUS","TAXENV","OTH","PC_GDP","A","2004",0.02007917576115,
"AUS","TAXENV","OTH","PC_GDP","A","2005",0.0203872512291,
"AUS","TAXENV","OTH","PC_GDP","A","2006",0.01843066688478,
"AUS","TAXENV","OTH","PC_GDP","A","2007",0.02355966847598,
"AUS","TAXENV","OTH","PC_GDP","A","2008",0.02408009085947,
"AUS","TAXENV","OTH","PC_GDP","A","2009",0.02694215270404,
"AUS","TAXENV","OTH","PC_GDP","A","2010",0.03415311653611,
"AUS","TAXENV","OTH","PC_GDP","A","2011",0.04015232273782,"E"
"AUS","TAXENV","OTH","PC_GDP","A","2012",0.04993862477687,"E"
"AUS","TAXENV","OTH","PC_GDP","A","2013",0.05032038551219,"E"
"AUS","TAXENV","OTH","PC_GDP","A","2014",0.04681127162302,
"AUS","TAXENV","OTH","PC_GDP","A","2015",0.05224141982145,
"AUS","TAXENV","OTH","PC_GDP","A","2016",0.04861163299786,
"AUS","TAXENV","TOT","PC_GDP","A","1994",2.488843805821,"E"
"AUS","TAXENV","TOT","PC_GDP","A","1995",2.61183228423,
"AUS","TAXENV","TOT","PC_GDP","A","1996",2.5415502933067,
"AUS","TAXENV","TOT","PC_GDP","A","1997",2.7801364604221,
"AUS","TAXENV","TOT","PC_GDP","A","1998",2.8556747777011,
"AUS","TAXENV","TOT","PC_GDP","A","1999",2.7234252318784,
"AUS","TAXENV","TOT","PC_GDP","A","2000",2.4138366487617,
"AUS","TAXENV","TOT","PC_GDP","A","2001",2.6031038274386,
"AUS","TAXENV","TOT","PC_GDP","A","2002",2.54112453737,
"AUS","TAXENV","TOT","PC_GDP","A","2003",2.4113907572884,
"AUS","TAXENV","TOT","PC_GDP","A","2004",2.3258211292956,
"AUS","TAXENV","TOT","PC_GDP","A","2005",2.1718663822419,
"AUS","TAXENV","TOT","PC_GDP","A","2006",2.072703561542,
"AUS","TAXENV","TOT","PC_GDP","A","2007",2.022443005813,
"AUS","TAXENV","TOT","PC_GDP","A","2008",1.905663288984,
"AUS","TAXENV","TOT","PC_GDP","A","2009",1.9098914448302,
"AUS","TAXENV","TOT","PC_GDP","A","2010",1.8617342938793,
"AUS","TAXENV","TOT","PC_GDP","A","2011",1.7931586747313,
"AUS","TAXENV","TOT","PC_GDP","A","2012",2.0732363896614,
"AUS","TAXENV","TOT","PC_GDP","A","2013",2.0776725912335,
"AUS","TAXENV","TOT","PC_GDP","A","2014",1.9111832639772,
"AUS","TAXENV","TOT","PC_GDP","A","2015",1.8154205182764,
"AUS","TAXENV","TOT","PC_GDP","A","2016",1.7689759419887,
"AUS","TAXENV","MOTORVEH","PC_GDP","A","1994",0.61993623435269,
"AUS","TAXENV","MOTORVEH","PC_GDP","A","1995",0.63135075027359,
"AUS","TAXENV","MOTORVEH","PC_GDP","A","1996",0.64200572490882,
"AUS","TAXENV","MOTORVEH","PC_GDP","A","1997",0.62487986274722,
"AUS","TAXENV","MOTORVEH","PC_GDP","A","1998",0.66182535880279,
"AUS","TAXENV","MOTORVEH","PC_GDP","A","1999",0.62343104541277,
"AUS","TAXENV","MOTORVEH","PC_GDP","A","2000",0.63042201220828,
"AUS","TAXENV","MOTORVEH","PC_GDP","A","2001",0.89170114355285,"E"
"AUS","TAXENV","MOTORVEH","PC_GDP","A","2002",0.86551490135621,"E"
"AUS","TAXENV","MOTORVEH","PC_GDP","A","2003",0.85918569153019,"E"
"AUS","TAXENV","MOTORVEH","PC_GDP","A","2004",0.82975885638456,
"AUS","TAXENV","MOTORVEH","PC_GDP","A","2005",0.77441522603467,
"AUS","TAXENV","MOTORVEH","PC_GDP","A","2006",0.72064099530578,
"AUS","TAXENV","MOTORVEH","PC_GDP","A","2007",0.72567250442635,
"AUS","TAXENV","MOTORVEH","PC_GDP","A","2008",0.69697097645395,
"AUS","TAXENV","MOTORVEH","PC_GDP","A","2009",0.70588467006945,
"AUS","TAXENV","MOTORVEH","PC_GDP","A","2010",0.69303269453115,
"AUS","TAXENV","MOTORVEH","PC_GDP","A","2011",0.65539815943047,
"AUS","TAXENV","MOTORVEH","PC_GDP","A","2012",0.68460285298682,
"AUS","TAXENV","MOTORVEH","PC_GDP","A","2013",0.68656253685882,
"AUS","TAXENV","MOTORVEH","PC_GDP","A","2014",0.70044237540302,
"AUS","TAXENV","MOTORVEH","PC_GDP","A","2015",0.71065142286847,
"AUS","TAXENV","MOTORVEH","PC_GDP","A","2016",0.69490389763416,
"AUT","TAXENV","ENRG","PC_GDP","A","1994",1.1726819277131,
"AUT","TAXENV","ENRG","PC_GDP","A","1995",1.3001620043933,
"AUT","TAXENV","ENRG","PC_GDP","A","1996",1.5190023618418,
"AUT","TAXENV","ENRG","PC_GDP","A","1997",1.6210994824528,
"AUT","TAXENV","ENRG","PC_GDP","A","1998",1.5206781722362,
"AUT","TAXENV","ENRG","PC_GDP","A","1999",1.5206725496877,
"AUT","TAXENV","ENRG","PC_GDP","A","2000",1.5393728103981,
"AUT","TAXENV","ENRG","PC_GDP","A","2001",1.6483386218494,
"AUT","TAXENV","ENRG","PC_GDP","A","2002",1.6764048335149,
"AUT","TAXENV","ENRG","PC_GDP","A","2003",1.729180337836,
"AUT","TAXENV","ENRG","PC_GDP","A","2004",1.7867510813035,
"AUT","TAXENV","ENRG","PC_GDP","A","2005",1.7121715448216,
"AUT","TAXENV","ENRG","PC_GDP","A","2006",1.5762937737914,
"AUT","TAXENV","ENRG","PC_GDP","A","2007",1.5680088819557,
"AUT","TAXENV","ENRG","PC_GDP","A","2008",1.5669150845656,
"AUT","TAXENV","ENRG","PC_GDP","A","2009",1.5486855162525,
"AUT","TAXENV","ENRG","PC_GDP","A","2010",1.549620733451,
"AUT","TAXENV","ENRG","PC_GDP","A","2011",1.6149047791437,
"AUT","TAXENV","ENRG","PC_GDP","A","2012",1.5786330043073,
"AUT","TAXENV","ENRG","PC_GDP","A","2013",1.572514722571,
"AUT","TAXENV","ENRG","PC_GDP","A","2014",1.5084493131966,
"AUT","TAXENV","ENRG","PC_GDP","A","2015",1.5142109250023,
"AUT","TAXENV","ENRG","PC_GDP","A","2016",1.4884921289204,
"AUT","TAXENV","OTH","PC_GDP","A","1994",0.01314214004226,
"AUT","TAXENV","OTH","PC_GDP","A","1995",0.02038360155487,
"AUT","TAXENV","OTH","PC_GDP","A","1996",0.02118742724098,
"AUT","TAXENV","OTH","PC_GDP","A","1997",0.02595045006067,
"AUT","TAXENV","OTH","PC_GDP","A","1998",0.03066873924609,
"AUT","TAXENV","OTH","PC_GDP","A","1999",0.04005248012229,
"AUT","TAXENV","OTH","PC_GDP","A","2000",0.04230911138418,
"AUT","TAXENV","OTH","PC_GDP","A","2001",0.04901937057883,
"AUT","TAXENV","OTH","PC_GDP","A","2002",0.04924603886758,
"AUT","TAXENV","OTH","PC_GDP","A","2003",0.05069111214099,
"AUT","TAXENV","OTH","PC_GDP","A","2004",0.03222621796732,
"AUT","TAXENV","OTH","PC_GDP","A","2005",0.02686215727446,
"AUT","TAXENV","OTH","PC_GDP","A","2006",0.03463790318042,
"AUT","TAXENV","OTH","PC_GDP","A","2007",0.03258082738807,
"AUT","TAXENV","OTH","PC_GDP","A","2008",0.02913655609526,
"AUT","TAXENV","OTH","PC_GDP","A","2009",0.02789327749504,
"AUT","TAXENV","OTH","PC_GDP","A","2010",0.02502812804724,
"AUT","TAXENV","OTH","PC_GDP","A","2011",0.02459920234186,
"AUT","TAXENV","OTH","PC_GDP","A","2012",0.02694723727443,
"AUT","TAXENV","OTH","PC_GDP","A","2013",0.02752666459585,
"AUT","TAXENV","OTH","PC_GDP","A","2014",0.02824623657002,
"AUT","TAXENV","OTH","PC_GDP","A","2015",0.02775544014116,
"AUT","TAXENV","OTH","PC_GDP","A","2016",0.02788699347083,
"AUT","TAXENV","TOT","PC_GDP","A","1994",2.2233777982831,
"AUT","TAXENV","TOT","PC_GDP","A","1995",2.4690717392376,
"AUT","TAXENV","TOT","PC_GDP","A","1996",2.7189440898859,
"AUT","TAXENV","TOT","PC_GDP","A","1997",2.8689678305283,
"AUT","TAXENV","TOT","PC_GDP","A","1998",2.8288290796433,
"AUT","TAXENV","TOT","PC_GDP","A","1999",2.830067848061,
"AUT","TAXENV","TOT","PC_GDP","A","2000",2.9275072568423,
"AUT","TAXENV","TOT","PC_GDP","A","2001",3.1718129708177,
"AUT","TAXENV","TOT","PC_GDP","A","2002",3.2221854441896,
"AUT","TAXENV","TOT","PC_GDP","A","2003",3.3043780044433,
"AUT","TAXENV","TOT","PC_GDP","A","2004",3.2529497779959,
"AUT","TAXENV","TOT","PC_GDP","A","2005",3.1967889589477,
"AUT","TAXENV","TOT","PC_GDP","A","2006",2.9728918254795,
"AUT","TAXENV","TOT","PC_GDP","A","2007",2.8857367694234,
"AUT","TAXENV","TOT","PC_GDP","A","2008",2.8473849241836,
"AUT","TAXENV","TOT","PC_GDP","A","2009",2.8555767067868,
"AUT","TAXENV","TOT","PC_GDP","A","2010",2.829013391058,
"AUT","TAXENV","TOT","PC_GDP","A","2011",2.9096320275698,
"AUT","TAXENV","TOT","PC_GDP","A","2012",2.8756537792426,
"AUT","TAXENV","TOT","PC_GDP","A","2013",2.8571556035451,
"AUT","TAXENV","TOT","PC_GDP","A","2014",2.875425545439,
"AUT","TAXENV","TOT","PC_GDP","A","2015",2.7271582790631,
"AUT","TAXENV","TOT","PC_GDP","A","2016",2.7104829427603,
"AUT","TAXENV","MOTORVEH","PC_GDP","A","1994",1.0375538785058,
"AUT","TAXENV","MOTORVEH","PC_GDP","A","1995",1.1485262605365,
"AUT","TAXENV","MOTORVEH","PC_GDP","A","1996",1.1787541432144,
"AUT","TAXENV","MOTORVEH","PC_GDP","A","1997",1.2219177214122,
"AUT","TAXENV","MOTORVEH","PC_GDP","A","1998",1.2774821839288,
"AUT","TAXENV","MOTORVEH","PC_GDP","A","1999",1.2693429242319,
"AUT","TAXENV","MOTORVEH","PC_GDP","A","2000",1.3458253360283,
"AUT","TAXENV","MOTORVEH","PC_GDP","A","2001",1.4744549810161,
"AUT","TAXENV","MOTORVEH","PC_GDP","A","2002",1.4965346211741,
"AUT","TAXENV","MOTORVEH","PC_GDP","A","2003",1.5245064066565,
"AUT","TAXENV","MOTORVEH","PC_GDP","A","2004",1.4339723466988,
"AUT","TAXENV","MOTORVEH","PC_GDP","A","2005",1.4577552692391,
"AUT","TAXENV","MOTORVEH","PC_GDP","A","2006",1.3619600648779,
"AUT","TAXENV","MOTORVEH","PC_GDP","A","2007",1.2851471901276,
"AUT","TAXENV","MOTORVEH","PC_GDP","A","2008",1.2513333205165,
"AUT","TAXENV","MOTORVEH","PC_GDP","A","2009",1.2789978846046,
"AUT","TAXENV","MOTORVEH","PC_GDP","A","2010",1.2543646620373,
"AUT","TAXENV","MOTORVEH","PC_GDP","A","2011",1.2701281015714,
"AUT","TAXENV","MOTORVEH","PC_GDP","A","2012",1.2700735962215,
"AUT","TAXENV","MOTORVEH","PC_GDP","A","2013",1.2571141165592,
"AUT","TAXENV","MOTORVEH","PC_GDP","A","2014",1.3387298939354,
"AUT","TAXENV","MOTORVEH","PC_GDP","A","2015",1.1851917977932,
"AUT","TAXENV","MOTORVEH","PC_GDP","A","2016",1.194103789601,
"BEL","TAXENV","ENRG","PC_GDP","A","1994",1.534079699731,
"BEL","TAXENV","ENRG","PC_GDP","A","1995",1.4919490259108,
"BEL","TAXENV","ENRG","PC_GDP","A","1996",1.5564334766571,
"BEL","TAXENV","ENRG","PC_GDP","A","1997",1.5449926308889,
"BEL","TAXENV","ENRG","PC_GDP","A","1998",1.5272745889693,
"BEL","TAXENV","ENRG","PC_GDP","A","1999",1.4735122161419,
"BEL","TAXENV","ENRG","PC_GDP","A","2000",1.3995322180221,
"BEL","TAXENV","ENRG","PC_GDP","A","2001",1.3665758713177,
"BEL","TAXENV","ENRG","PC_GDP","A","2002",1.3324482309676,"E"
"BEL","TAXENV","ENRG","PC_GDP","A","2003",1.3778829160545,"E"
"BEL","TAXENV","ENRG","PC_GDP","A","2004",1.4429674391865,"E"
"BEL","TAXENV","ENRG","PC_GDP","A","2005",1.4367177914783,"E"
"BEL","TAXENV","ENRG","PC_GDP","A","2006",1.2973343874062,"E"
"BEL","TAXENV","ENRG","PC_GDP","A","2007",1.3103383003564,"E"
"BEL","TAXENV","ENRG","PC_GDP","A","2008",1.2280199458208,"E"
"BEL","TAXENV","ENRG","PC_GDP","A","2009",1.2854480367067,"E"
"BEL","TAXENV","ENRG","PC_GDP","A","2010",1.335029751741,"E"
"BEL","TAXENV","ENRG","PC_GDP","A","2011",1.3518899496807,"E"
"BEL","TAXENV","ENRG","PC_GDP","A","2012",1.2909415738951,"E"
"BEL","TAXENV","ENRG","PC_GDP","A","2013",1.2149926694246,"E"
"BEL","TAXENV","ENRG","PC_GDP","A","2014",1.2570443616779,"E"
"BEL","TAXENV","ENRG","PC_GDP","A","2015",1.2928715822365,"E"
"BEL","TAXENV","ENRG","PC_GDP","A","2016",1.3590474828908,"E"
"BEL","TAXENV","OTH","PC_GDP","A","1994",0.15270982170708,
"BEL","TAXENV","OTH","PC_GDP","A","1995",0.16856170676927,
"BEL","TAXENV","OTH","PC_GDP","A","1996",0.20852794420266,
"BEL","TAXENV","OTH","PC_GDP","A","1997",0.23060720764289,
"BEL","TAXENV","OTH","PC_GDP","A","1998",0.20521159281783,
"BEL","TAXENV","OTH","PC_GDP","A","1999",0.20051104903475,
"BEL","TAXENV","OTH","PC_GDP","A","2000",0.17355341714305,
"BEL","TAXENV","OTH","PC_GDP","A","2001",0.17758483856915,
"BEL","TAXENV","OTH","PC_GDP","A","2002",0.16058021518677,
"BEL","TAXENV","OTH","PC_GDP","A","2003",0.1490607949718,
"BEL","TAXENV","OTH","PC_GDP","A","2004",0.20028826716876,
"BEL","TAXENV","OTH","PC_GDP","A","2005",0.20142494585888,"E"
"BEL","TAXENV","OTH","PC_GDP","A","2006",0.1655319542919,"E"
"BEL","TAXENV","OTH","PC_GDP","A","2007",0.1506792848901,
"BEL","TAXENV","OTH","PC_GDP","A","2008",0.15659220354032,
"BEL","TAXENV","OTH","PC_GDP","A","2009",0.14489892088338,
"BEL","TAXENV","OTH","PC_GDP","A","2010",0.14223480318936,
"BEL","TAXENV","OTH","PC_GDP","A","2011",0.13761318954703,
"BEL","TAXENV","OTH","PC_GDP","A","2012",0.13264503753104,
"BEL","TAXENV","OTH","PC_GDP","A","2013",0.13279298334294,
"BEL","TAXENV","OTH","PC_GDP","A","2014",0.13170517855562,
"BEL","TAXENV","OTH","PC_GDP","A","2015",0.10157500782609,
"BEL","TAXENV","OTH","PC_GDP","A","2016",0.10548135352643,
"BEL","TAXENV","TOT","PC_GDP","A","1994",2.4148222709558,
"BEL","TAXENV","TOT","PC_GDP","A","1995",2.4079027676671,
"BEL","TAXENV","TOT","PC_GDP","A","1996",2.6406114333365,
"BEL","TAXENV","TOT","PC_GDP","A","1997",2.6391706621895,
"BEL","TAXENV","TOT","PC_GDP","A","1998",2.5747837254064,
"BEL","TAXENV","TOT","PC_GDP","A","1999",2.5586136785596,
"BEL","TAXENV","TOT","PC_GDP","A","2000",2.3739082684066,
"BEL","TAXENV","TOT","PC_GDP","A","2001",2.3801265171461,
"BEL","TAXENV","TOT","PC_GDP","A","2002",2.3196690815831,
"BEL","TAXENV","TOT","PC_GDP","A","2003",2.3620091863284,
"BEL","TAXENV","TOT","PC_GDP","A","2004",2.4524664928068,
"BEL","TAXENV","TOT","PC_GDP","A","2005",2.4552396586373,
"BEL","TAXENV","TOT","PC_GDP","A","2006",2.2220605515682,
"BEL","TAXENV","TOT","PC_GDP","A","2007",2.2109177676372,
"BEL","TAXENV","TOT","PC_GDP","A","2008",2.1008630795886,
"BEL","TAXENV","TOT","PC_GDP","A","2009",2.1801008534136,
"BEL","TAXENV","TOT","PC_GDP","A","2010",2.2063788885699,
"BEL","TAXENV","TOT","PC_GDP","A","2011",2.2491844357796,
"BEL","TAXENV","TOT","PC_GDP","A","2012",2.145780060823,
"BEL","TAXENV","TOT","PC_GDP","A","2013",2.0722852342634,
"BEL","TAXENV","TOT","PC_GDP","A","2014",2.0872212711382,
"BEL","TAXENV","TOT","PC_GDP","A","2015",2.0908294681646,
"BEL","TAXENV","TOT","PC_GDP","A","2016",2.1550260920379,
"BEL","TAXENV","MOTORVEH","PC_GDP","A","1994",0.72803283133822,
"BEL","TAXENV","MOTORVEH","PC_GDP","A","1995",0.74739217643791,
"BEL","TAXENV","MOTORVEH","PC_GDP","A","1996",0.87565013359409,
"BEL","TAXENV","MOTORVEH","PC_GDP","A","1997",0.86357089247325,
"BEL","TAXENV","MOTORVEH","PC_GDP","A","1998",0.84229747919988,
"BEL","TAXENV","MOTORVEH","PC_GDP","A","1999",0.88459046073534,
"BEL","TAXENV","MOTORVEH","PC_GDP","A","2000",0.80082255048012,
"BEL","TAXENV","MOTORVEH","PC_GDP","A","2001",0.83596576065327,
"BEL","TAXENV","MOTORVEH","PC_GDP","A","2002",0.82664068426738,
"BEL","TAXENV","MOTORVEH","PC_GDP","A","2003",0.83506554867034,
"BEL","TAXENV","MOTORVEH","PC_GDP","A","2004",0.80921072352115,
"BEL","TAXENV","MOTORVEH","PC_GDP","A","2005",0.81709693897372,
"BEL","TAXENV","MOTORVEH","PC_GDP","A","2006",0.759194260107,
"BEL","TAXENV","MOTORVEH","PC_GDP","A","2007",0.7499002810896,
"BEL","TAXENV","MOTORVEH","PC_GDP","A","2008",0.7162508239654,
"BEL","TAXENV","MOTORVEH","PC_GDP","A","2009",0.7497539120324,
"BEL","TAXENV","MOTORVEH","PC_GDP","A","2010",0.72911432783418,
"BEL","TAXENV","MOTORVEH","PC_GDP","A","2011",0.75968136834264,
"BEL","TAXENV","MOTORVEH","PC_GDP","A","2012",0.72219336020156,
"BEL","TAXENV","MOTORVEH","PC_GDP","A","2013",0.72449951406395,
"BEL","TAXENV","MOTORVEH","PC_GDP","A","2014",0.69847178832173,
"BEL","TAXENV","MOTORVEH","PC_GDP","A","2015",0.69638277574742,
"BEL","TAXENV","MOTORVEH","PC_GDP","A","2016",0.69049721274652,
"CAN","TAXENV","ENRG","PC_GDP","A","1994",1.2676516740018,
"CAN","TAXENV","ENRG","PC_GDP","A","1995",1.294840073006,
"CAN","TAXENV","ENRG","PC_GDP","A","1996",1.2715793218192,
"CAN","TAXENV","ENRG","PC_GDP","A","1997",1.244879735652,
"CAN","TAXENV","ENRG","PC_GDP","A","1998",1.2406844112151,
"CAN","TAXENV","ENRG","PC_GDP","A","1999",1.1652268665713,
"CAN","TAXENV","ENRG","PC_GDP","A","2000",1.095269875986,
"CAN","TAXENV","ENRG","PC_GDP","A","2001",1.0745158616615,
"CAN","TAXENV","ENRG","PC_GDP","A","2002",1.0503900870534,
