"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","EMPINDUS","AGR","THND_PER","A","1964",462.75,
"AUS","EMPINDUS","AGR","THND_PER","A","1965",448.75,"E"
"AUS","EMPINDUS","AGR","THND_PER","A","1966",439.25,"E"
"AUS","EMPINDUS","AGR","THND_PER","A","1967",441,"E"
"AUS","EMPINDUS","AGR","THND_PER","A","1968",437,"E"
"AUS","EMPINDUS","AGR","THND_PER","A","1969",428.5,"E"
"AUS","EMPINDUS","AGR","THND_PER","A","1970",432.25,"E"
"AUS","EMPINDUS","AGR","THND_PER","A","1971",423.5,"E"
"AUS","EMPINDUS","AGR","THND_PER","A","1972",439.75,"E"
"AUS","EMPINDUS","AGR","THND_PER","A","1973",422.25,"E"
"AUS","EMPINDUS","AGR","THND_PER","A","1974",408,"E"
"AUS","EMPINDUS","AGR","THND_PER","A","1975",404.75,"E"
"AUS","EMPINDUS","AGR","THND_PER","A","1976",390,"E"
"AUS","EMPINDUS","AGR","THND_PER","A","1977",398,"B"
"AUS","EMPINDUS","AGR","THND_PER","A","1978",380.5,
"AUS","EMPINDUS","AGR","THND_PER","A","1979",396,
"AUS","EMPINDUS","AGR","THND_PER","A","1980",407.25,
"AUS","EMPINDUS","AGR","THND_PER","A","1981",416,
"AUS","EMPINDUS","AGR","THND_PER","A","1982",412,
"AUS","EMPINDUS","AGR","THND_PER","A","1983",416,
"AUS","EMPINDUS","AGR","THND_PER","A","1984",403.5444,
"AUS","EMPINDUS","AGR","THND_PER","A","1985",411.6402,
"AUS","EMPINDUS","AGR","THND_PER","A","1986",424.194,
"AUS","EMPINDUS","AGR","THND_PER","A","1987",411.2527,
"AUS","EMPINDUS","AGR","THND_PER","A","1988",430.56,
"AUS","EMPINDUS","AGR","THND_PER","A","1989",425.2033,
"AUS","EMPINDUS","AGR","THND_PER","A","1990",435.7737,
"AUS","EMPINDUS","AGR","THND_PER","A","1991",410.4288,
"AUS","EMPINDUS","AGR","THND_PER","A","1992",384.4738,
"AUS","EMPINDUS","AGR","THND_PER","A","1993",389.9679,
"AUS","EMPINDUS","AGR","THND_PER","A","1994",385.517,
"AUS","EMPINDUS","AGR","THND_PER","A","1995",390.1216,
"AUS","EMPINDUS","AGR","THND_PER","A","1996",401.1078,
"AUS","EMPINDUS","AGR","THND_PER","A","1997",409.1771,
"AUS","EMPINDUS","AGR","THND_PER","A","1998",411.0339,
"AUS","EMPINDUS","AGR","THND_PER","A","1999",425.8499,
"AUS","EMPINDUS","AGR","THND_PER","A","2000",430.4146,
"AUS","EMPINDUS","AGR","THND_PER","A","2001",427.3297,
"AUS","EMPINDUS","AGR","THND_PER","A","2002",401.6648,
"AUS","EMPINDUS","AGR","THND_PER","A","2003",366.9275,
"AUS","EMPINDUS","AGR","THND_PER","A","2004",355.8749,
"AUS","EMPINDUS","AGR","THND_PER","A","2005",352.7252,
"AUS","EMPINDUS","AGR","THND_PER","A","2006",344.1808,
"AUS","EMPINDUS","AGR","THND_PER","A","2007",345.5932,
"AUS","EMPINDUS","AGR","THND_PER","A","2008",344.7386,
"AUS","EMPINDUS","AGR","THND_PER","A","2009",348.4926,
"AUS","EMPINDUS","AGR","THND_PER","A","2010",355.0624,
"AUS","EMPINDUS","AGR","THND_PER","A","2011",315.1922,
"AUS","EMPINDUS","AGR","THND_PER","A","2012",317.1153,
"AUS","EMPINDUS","AGR","THND_PER","A","2013",299.2873,
"AUS","EMPINDUS","AGR","THND_PER","A","2014",323.2664,
"AUS","EMPINDUS","AGR","THND_PER","A","2015",311.0088,
"AUS","EMPINDUS","AGR","THND_PER","A","2016",313.9686,
"AUS","EMPINDUS","AGR","THND_PER","A","2017",318.3803,
"AUS","EMPINDUS","AGR","THND_PER","A","2018",329.6285,
"AUS","EMPINDUS","CONSTR","THND_PER","A","1985",480.9267,
"AUS","EMPINDUS","CONSTR","THND_PER","A","1986",489.6624,
"AUS","EMPINDUS","CONSTR","THND_PER","A","1987",503.9035,
"AUS","EMPINDUS","CONSTR","THND_PER","A","1988",535.7723,
"AUS","EMPINDUS","CONSTR","THND_PER","A","1989",600.7968,
"AUS","EMPINDUS","CONSTR","THND_PER","A","1990",592.9733,
"AUS","EMPINDUS","CONSTR","THND_PER","A","1991",538.276,
"AUS","EMPINDUS","CONSTR","THND_PER","A","1992",520.9838,
"AUS","EMPINDUS","CONSTR","THND_PER","A","1993",547.3837,
"AUS","EMPINDUS","CONSTR","THND_PER","A","1994",568.039,
"AUS","EMPINDUS","CONSTR","THND_PER","A","1995",598.3638,
"AUS","EMPINDUS","CONSTR","THND_PER","A","1996",593.9698,
"AUS","EMPINDUS","CONSTR","THND_PER","A","1997",577.527,
"AUS","EMPINDUS","CONSTR","THND_PER","A","1998",614.6667,
"AUS","EMPINDUS","CONSTR","THND_PER","A","1999",650.3469,
"AUS","EMPINDUS","CONSTR","THND_PER","A","2000",684.91,
"AUS","EMPINDUS","CONSTR","THND_PER","A","2001",662.4023,
"AUS","EMPINDUS","CONSTR","THND_PER","A","2002",693.7667,
"AUS","EMPINDUS","CONSTR","THND_PER","A","2003",745.3265,
"AUS","EMPINDUS","CONSTR","THND_PER","A","2004",791.9011,
"AUS","EMPINDUS","CONSTR","THND_PER","A","2005",843.0519,
"AUS","EMPINDUS","CONSTR","THND_PER","A","2006",900.8347,
"AUS","EMPINDUS","CONSTR","THND_PER","A","2007",936.3865,
"AUS","EMPINDUS","CONSTR","THND_PER","A","2008",986.4555,
"AUS","EMPINDUS","CONSTR","THND_PER","A","2009",983.7769,
"AUS","EMPINDUS","CONSTR","THND_PER","A","2010",998.6464,
"AUS","EMPINDUS","CONSTR","THND_PER","A","2011",1013.67,
"AUS","EMPINDUS","CONSTR","THND_PER","A","2012",982.4848,
"AUS","EMPINDUS","CONSTR","THND_PER","A","2013",1007.852,
"AUS","EMPINDUS","CONSTR","THND_PER","A","2014",1031.304,
"AUS","EMPINDUS","CONSTR","THND_PER","A","2015",1029.04,
"AUS","EMPINDUS","CONSTR","THND_PER","A","2016",1059.985,
"AUS","EMPINDUS","CONSTR","THND_PER","A","2017",1137.186,
"AUS","EMPINDUS","CONSTR","THND_PER","A","2018",1176.792,
"AUS","EMPINDUS","INDUSCONSTR","THND_PER","A","1964",1795.3,
"AUS","EMPINDUS","INDUSCONSTR","THND_PER","A","1965",1774.544,"E"
"AUS","EMPINDUS","INDUSCONSTR","THND_PER","A","1966",1804.587,"E"
"AUS","EMPINDUS","INDUSCONSTR","THND_PER","A","1967",1850.33,"E"
"AUS","EMPINDUS","INDUSCONSTR","THND_PER","A","1968",1879.974,"E"
"AUS","EMPINDUS","INDUSCONSTR","THND_PER","A","1969",1930.373,"E"
"AUS","EMPINDUS","INDUSCONSTR","THND_PER","A","1970",1992.585,"E"
"AUS","EMPINDUS","INDUSCONSTR","THND_PER","A","1971",2017.083,"E"
"AUS","EMPINDUS","INDUSCONSTR","THND_PER","A","1972",1996.596,"E"
