"Cite as: CAIT Climate Data Explorer. 2015. Washington, DC: World Resources Institute. Available online at:Êhttp://cait.wri.org.Ê Please Note: CAIT data are derived from several sources. Any use of the Land-Use Change and Forestry or Agriculture indicator should be cited as FAO 2014, FAOSTAT Emissions Database. Any use of CO2Êemissions from fuel combustion data should be cited as CO2ÊEmissions from Fuel Combustion, ©OECD/IEA, 2014.",,,,,,,,,,,,,,,,,,,,,
,,Total GHG,,Emissions by Gas excluding LUCF,,,,Emissions by Gas including LUCF,,,Emissions by Sector,,,,,,Emissions by Energy Sub-Sector,,,,
Country,Year,Total GHG Emissions Excluding Land-Use Change and Forestry (MtCO2e),Total GHG Emissions Including Land-Use Change and Forestry (MtCO?e?),Total CO2 (excluding Land-Use Change and Forestry) (MtCO2),Total CH4 (MtCO2e),Total N2O (MtCO2e),Total F-Gas (MtCO2e),Total CO2 (including Land-Use Change and Forestry) (MtCO2),Total CH4 (including Land-Use Change and Forestry) (MtCO2e),Total N2O (including Land-Use Change and Forestry) (MtCO2e),Energy (MtCO2e),Industrial Processes (MtCO2e),Agriculture (MtCO2e),Waste (MtCO2e),Land-Use Change and Forestry (MtCO2),Bunker Fuels (MtCO2),Electricity/Heat (MtCO2),Manufacturing/Construction (MtCO2),Transportation (MtCO2),Other Fuel Combustion (MtCO2e),Fugitive Emissions (MtCO2e)
Afghanistan,1990,15.2969,15.9612,2.9907,9.3098,2.9943,0.0022,3.654722,9.309910807,2.99436272,,0.0571,7.3512,4.039,0.6643,,,,,,1.2556
Afghanistan,1991,15.3514,15.3516,2.7412,9.5144,3.0922,0.0036,2.741202,9.514510824,3.092302599,,0.0586,7.6393,4.22,0.0002,,,,,,1.0226
Afghanistan,1992,14.0513,14.0515,1.4252,9.5697,3.0513,0.005,1.425242,9.569810841,3.051362478,,0.0637,7.6392,4.4011,0.0002,,,,,,0.6026
Afghanistan,1993,14.0649,14.065,1.352,9.6081,3.0983,0.0065,1.352016,9.608190857,3.098362357,,0.0651,7.7102,4.5822,0.0002,,,,,,0.414
Afghanistan,1994,14.0222,14.0224,1.2971,9.7873,2.93,0.0079,1.297056,9.787360874,2.930032237,,0.0665,7.7066,4.7633,0.0002,,,,,,0.2473
Afghanistan,1995,14.3679,14.3681,1.2458,10.056,3.0568,0.0093,1.24576,10.05614089,3.056832116,,0.068,8.0878,4.9444,0.0002,,,,,,0.0807
Afghanistan,1996,15.351,15.3511,1.1761,10.8619,3.2956,0.0173,1.176144,10.86204836,3.295641691,,0.0759,8.9751,5.0984,0.0002,,,,,,0.084
Afghanistan,1997,16.3108,16.3109,1.0882,11.5757,3.6216,0.0253,1.088208,11.57577583,3.621661266,,0.0839,9.8576,5.2525,0.0001,,,,,,0.0873
Afghanistan,1998,17.1511,17.1513,1.0332,12.1525,3.9321,0.0332,1.033248,12.15263329,3.932250841,,0.0918,10.5875,5.4065,0.0003,,,,,,0.0906
